reid,ruid,clid,total_cost,payment,guests
90,4239,330,2601.48,cash,4
91,1343,129,943.83,credit card,2
92,4523,185,3473.47,pear pay,4
93,4403,236,876.82,check,3
94,4735,20,5458.46,credit card,1
95,1385,66,1688.4,credit card,1
96,4939,85,4030.62,credit card,1
97,3583,186,936.96,check,3
98,1232,229,1097.36,check,1
99,3538,180,866.61,pear pay,2
100,4809,99,744.64,credit card,1
101,1475,340,215.7,credit card,1
102,3750,165,3030.61,credit card,2
103,135,234,1070.86,credit card,1
104,2239,97,535.92,credit card,2
105,4535,103,5138.9,check,2
106,3190,41,2653.76,cash,1
107,4264,63,601.74,check,2
108,3206,301,642,cash,1
109,2064,350,1106.77,cash,2
110,4489,75,338.91,credit card,1
111,1247,179,1818,check,1
112,4665,44,1065.15,credit card,2
113,2452,117,1417.5,check,2
114,1013,59,1706.46,credit card,1
115,4071,197,1027.35,debit card,2
116,253,75,1009.92,pear pay,2
117,445,25,1493.18,credit card,1
118,2745,197,1945.76,cash,7
119,4640,368,2759.04,cash,3
120,1315,234,1950.36,credit card,3
121,2719,74,311.4,credit card,1
122,575,331,747.6,credit card,1
123,969,247,1998.5,check,3
124,980,134,1420.25,credit card,2
125,188,314,657.75,credit card,1
126,4428,173,1004.76,pear pay,1
127,3923,161,1664.28,credit card,3
128,4249,338,2051.14,credit card,4
129,2144,329,1919.17,debit card,3
130,2728,347,1008.72,credit card,6
131,2139,149,676.83,credit card,1
132,1139,214,2129.14,cash,2
133,3893,1,1131.72,credit card,2
134,1608,273,1422.99,pear pay,4
135,4953,292,2049.74,debit card,1
136,3414,40,624.24,debit card,1
137,2241,120,5410.8,debit card,8
138,2900,73,5328.4,credit card,8
139,4311,373,930.6,cash,1
140,1848,37,1531.44,credit card,3
141,2636,233,666.95,credit card,1
142,3274,205,1395.94,credit card,1
143,146,324,3467.7,debit card,2
144,3892,146,2743.65,cash,4
145,4829,81,467.46,cash,1
146,4266,63,3833.6,credit card,4
147,1210,169,1022.13,pear pay,2
148,3682,180,3901.15,debit card,1
149,1591,141,1806.86,pear pay,2
150,2755,185,296.13,cash,3
151,2079,284,1481.22,pear pay,1
152,2623,1,2940.72,check,3
153,3084,397,1053.24,check,2
154,2771,310,2368.32,check,6
155,1282,390,647.15,cash,2
156,3642,199,1187.78,debit card,1
157,2053,215,1606.88,cash,4
158,3609,205,2341.43,cash,2
159,4842,111,632.24,cash,2
160,914,23,1446.1,cash,2
161,293,6,345.81,credit card,3
162,920,237,994.32,check,2
163,1886,39,1609.44,check,1
164,1864,11,524.48,credit card,2
165,1911,240,861.3,debit card,1
166,3492,191,1764.62,credit card,2
167,654,380,891.1,check,1
168,4786,61,982.62,credit card,3
169,3216,84,377.91,credit card,1
170,3266,393,884.3,cash,1
171,394,353,812.6,pear pay,1
172,4247,312,518.34,check,1
173,835,342,1682.59,cash,1
174,2975,63,1297.14,pear pay,2
175,3153,393,1054.71,credit card,3
176,2206,327,359.61,credit card,1
177,2864,283,2581.28,cash,5
178,681,246,871.08,debit card,4
179,4134,198,2990.07,check,1
180,53,14,3215.6,cash,1
181,1570,395,2059.6,check,4
182,3955,103,353.55,credit card,2
183,1271,263,1066.66,credit card,1
184,903,371,6468.41,credit card,4
185,4458,181,2394.36,credit card,4
186,2072,174,1640.96,check,4
187,2573,367,1384.14,cash,2
188,4654,166,1587.3,check,4
189,4890,109,3072.68,credit card,2
190,1549,121,365.48,credit card,2
191,1753,26,1943.2,check,4
192,1187,326,2767.18,credit card,1
193,2851,51,1593.76,cash,1
194,306,84,1267.2,credit card,3
195,3079,153,1551.5,pear pay,1
196,718,301,812.32,check,5
197,3703,89,802.98,cash,2
198,1644,150,2487.55,cash,1
199,3071,369,925.08,check,2
200,4826,390,572.16,credit card,2
201,1173,112,2630.03,credit card,1
202,4270,396,800.55,credit card,1
203,2414,267,3159.63,credit card,2
204,2177,237,1493.45,check,2
205,3991,32,1518.96,cash,3
206,1667,91,1111,credit card,1
207,1897,179,1507.92,cash,2
208,1091,266,554.76,cash,1
209,332,14,773.13,credit card,6
210,2797,258,2052.71,credit card,2
211,941,131,1319.4,check,1
212,1978,58,4468,credit card,5
213,4096,238,1004.3,check,3
214,4114,100,2217,check,2
215,1736,384,1024.23,cash,3
216,669,380,843.66,credit card,3
217,280,360,709.53,credit card,3
218,4941,271,1458.86,cash,1
219,2896,67,2255.15,check,2
220,4627,271,488.58,cash,1
221,2757,387,1295.68,cash,6
222,1131,162,1862.74,credit card,4
223,2944,336,1923.48,cash,4
224,3638,201,1127.6,credit card,2
225,3449,239,3292.25,credit card,4
226,4617,199,2048.22,credit card,6
227,4584,333,1390.62,credit card,1
228,1922,141,790.9,credit card,1
229,2162,204,1658.58,check,4
230,3541,174,817.08,pear pay,2
231,389,54,2934.88,credit card,7
232,1854,179,3812.16,cash,3
233,1871,86,1474.38,cash,1
234,165,194,1129.31,cash,2
235,1883,136,799.92,credit card,1
236,3624,51,561.2,credit card,1
237,281,341,685.44,credit card,1
238,3571,246,2512.44,credit card,2
239,1923,368,338.32,credit card,1
240,3649,260,1579.5,credit card,3
241,1970,218,3568.6,cash,6
242,4722,126,1343.42,cash,1
243,4475,360,2444.2,check,5
244,879,89,701.36,credit card,1
245,3866,55,607.04,credit card,1
246,2480,127,881.65,credit card,1
247,638,101,1090.08,credit card,1
248,1632,325,3048.42,credit card,4
249,482,180,2318.81,credit card,1
250,984,346,507,cash,2
251,4376,298,756.56,credit card,1
252,1284,302,957.12,credit card,1
253,2767,306,1273.32,credit card,2
254,215,205,1417.4,credit card,1
255,2937,156,751.73,cash,2
256,1965,302,5930.28,cash,4
257,4295,152,2068.74,credit card,4
258,2824,155,669.44,credit card,2
259,240,257,588.27,credit card,2
260,338,84,1418.64,credit card,3
261,4994,163,1143.6,credit card,1
262,3971,183,633.6,credit card,3
263,2301,91,2464.84,credit card,1
264,2179,230,3538.17,check,1
265,4388,163,1838.1,cash,1
266,867,94,2244.22,credit card,2
267,316,369,1214.28,pear pay,4
268,3328,320,872.88,cash,1
269,1272,238,994.07,credit card,1
270,2789,242,1539.02,credit card,1
271,3026,297,481.65,check,1
272,1679,163,1670.94,cash,6
273,3928,300,1052.48,check,1
274,3200,251,1217.52,credit card,3
275,3910,279,720.63,credit card,1
276,4712,279,1315.99,cash,1
277,2368,255,1165.64,check,3
278,1607,158,2651.04,credit card,3
279,4928,27,1755.26,credit card,2
280,970,307,2156,credit card,4
281,2128,163,2369.25,check,7
282,4674,162,1416.51,credit card,4
283,1146,67,2951.2,check,5
284,722,242,3160.44,check,2
285,1723,102,1925.43,credit card,4
286,4030,250,342.64,cash,1
287,3859,252,714.84,cash,2
288,2291,322,885.06,credit card,5
289,2556,119,2363.76,credit card,2
290,3962,376,1058.48,credit card,1
291,96,257,1454.92,pear pay,6
292,579,38,1320.62,pear pay,1
293,913,131,4384.38,check,4
294,2210,205,3863.16,credit card,2
295,3650,137,2111.22,credit card,4
296,4189,168,685.05,cash,4
297,3608,252,748.51,check,2
298,86,77,2243.78,credit card,1
299,4624,126,1456.8,credit card,2
300,187,325,2188.62,check,2
301,74,271,4195.04,cash,1
302,4485,150,5939.83,credit card,1
303,1154,12,3475.1,credit card,2
304,3593,205,1632.87,credit card,2
305,4488,168,1151.02,cash,1
306,2690,70,4260.76,cash,3
307,600,237,1127.28,credit card,1
308,2749,296,805,credit card,3
309,3652,384,1256.9,credit card,1
310,720,89,1346.88,credit card,1
311,3223,115,720.44,check,3
312,3833,129,1034.6,credit card,1
313,1222,388,739.38,cash,2
314,4438,108,2158.4,pear pay,2
315,4064,28,1299.06,credit card,1
316,4175,29,296.6,cash,1
317,4567,159,2147.4,debit card,1
318,4500,14,874.28,credit card,1
319,1022,97,1195.3,check,2
320,1347,162,1006.26,check,8
321,3983,316,2059.02,cash,4
322,3060,377,976.64,cash,4
323,3763,133,1991.5,credit card,2
324,842,363,2595.4,cash,2
325,4323,207,597.5,check,1
326,3628,353,1081.85,check,1
327,1165,158,2513.4,credit card,3
328,4224,104,1054.2,credit card,5
329,3724,322,676.38,cash,1
330,4840,105,1446.93,credit card,2
331,4599,13,617.88,credit card,6
332,3165,355,1543.7,check,5
333,3302,193,401.65,credit card,1
334,3119,214,2097.03,check,1
335,3920,193,1124.63,credit card,1
336,3110,216,2458.17,cash,5
337,788,179,1901,cash,3
338,1246,11,1705.62,cash,4
339,327,304,226.11,cash,1
340,1910,166,1167.2,check,1
341,23,289,3636.81,credit card,1
342,1296,55,891.02,credit card,1
343,77,323,1260.12,pear pay,3
344,3889,215,319.05,cash,2
345,242,300,2700.04,credit card,1
346,3141,302,967.26,cash,1
347,3747,237,3124.08,check,3
348,4150,192,1838.88,credit card,4
349,2022,21,4964.82,credit card,3
350,2484,356,1164.87,credit card,2
351,4079,242,1466.41,pear pay,2
352,3633,214,1682.85,credit card,1
353,1276,327,693,credit card,2
354,2570,60,516.15,cash,1
355,4306,220,697.44,check,1
356,1000,302,2563.47,credit card,3
357,2094,366,726.35,debit card,2
358,1550,60,721.68,cash,2
359,634,289,1194.24,cash,2
360,3085,367,2250,debit card,2
361,3144,85,1110.4,credit card,4
362,1425,204,734.91,cash,2
363,4499,40,775.59,cash,6
364,2249,143,756.05,pear pay,1
365,3673,175,3339.72,credit card,3
366,2148,222,2364.32,check,2
367,3067,163,1177.8,credit card,3
368,2059,146,4146.8,check,2
369,2742,149,1739.12,credit card,3
370,1763,398,1269.6,credit card,5
371,732,362,1631.5,credit card,5
372,689,177,477.06,check,1
373,1954,219,1184.08,cash,5
374,1461,192,738.5,credit card,1
375,1709,6,522.55,check,1
376,3550,257,1795.36,credit card,3
377,3049,5,921.9,check,3
378,3185,24,1267.2,cash,4
379,887,94,2158.52,credit card,3
380,2413,21,3834.84,credit card,3
381,3370,116,824.65,credit card,4
382,2437,324,1322,check,2
383,4571,12,1703.8,check,2
384,1265,292,1187.3,debit card,1
385,4039,26,1777.32,credit card,4
386,533,107,1006.72,cash,1
387,3160,95,687.05,credit card,1
388,4644,326,4562.6,credit card,2
389,3756,334,4710.72,check,1
390,1011,202,2058.96,cash,2
391,3460,68,553.86,cash,5
392,952,77,1437.1,credit card,5
393,4014,221,3274.46,check,5
394,3363,289,980.2,cash,2
395,3719,265,608.96,debit card,4
396,551,332,398.19,credit card,1
397,1768,163,4225,cash,4
398,1787,178,850,credit card,1
399,1712,173,3047.3,cash,2
400,641,74,3674.97,pear pay,6
401,4630,370,3590.3,credit card,1
402,2770,367,697.35,cash,2
403,452,320,615.51,credit card,3
404,2750,141,1473.12,credit card,3
405,823,118,397.76,cash,1
406,2980,70,3668.77,credit card,1
407,4998,277,296.9,check,1
408,1219,391,2331.29,credit card,3
409,1259,209,4969.44,debit card,8
410,924,52,776.8,debit card,2
411,4303,116,2279.03,credit card,4
412,623,140,1006.32,credit card,5
413,3309,157,1024.14,check,3
414,676,107,798.95,credit card,6
415,1113,376,1250.08,credit card,1
416,3922,284,2864.42,credit card,2
417,2501,133,481.23,credit card,2
418,1460,382,705.78,cash,1
419,3455,40,2222.36,credit card,1
420,4537,33,2333.07,check,1
421,3661,218,559.14,credit card,4
422,366,353,1341.54,credit card,1
423,4364,268,1949.92,cash,6
424,3382,130,2983.96,credit card,4
425,4525,119,1120.8,debit card,1
426,1039,65,1832.68,pear pay,2
427,748,114,857.78,check,1
428,1833,195,911.45,check,3
429,4777,77,971.67,debit card,1
430,224,69,289.29,credit card,2
431,663,341,840.12,cash,5
432,3097,54,1038,credit card,1
433,2809,356,3864.72,credit card,3
434,4680,392,2012.92,credit card,1
435,4173,152,1329.48,pear pay,4
436,2910,388,3664.2,credit card,3
437,83,199,833.4,pear pay,2
438,3061,12,2639.98,credit card,2
439,771,162,1385.36,credit card,4
440,2498,174,1999.01,pear pay,2
441,137,42,2819.2,pear pay,3
442,4426,266,1608.8,credit card,2
443,3984,30,841.8,check,2
444,3909,295,678.33,pear pay,1
445,981,191,1497.65,check,1
446,2216,257,4529.69,cash,3
447,1045,41,957.95,credit card,3
448,3513,14,1337.38,credit card,3
449,1803,61,440.22,check,1
450,1859,212,2258.9,cash,1
451,1040,323,3393.06,check,4
452,2004,53,2458.04,pear pay,2
453,3094,10,2113.02,credit card,1
454,4313,270,1745.19,cash,1
455,2426,283,3497,check,2
456,3209,308,1912.7,debit card,6
457,558,86,2649.8,credit card,4
458,2929,63,881.2,pear pay,1
459,363,270,534.6,cash,1
460,2862,121,471.75,cash,1
461,47,268,1456.84,check,1
462,2854,353,1428.4,check,1
463,4726,315,3538.78,pear pay,2
464,4406,111,1160.2,credit card,2
465,1762,50,524.52,debit card,1
466,3636,164,1080.04,cash,1
467,4877,226,3143.14,cash,2
468,2457,143,638.05,cash,2
469,2581,243,1097.36,debit card,1
470,2595,350,1056.36,cash,2
471,4807,275,2200.32,cash,1
472,4748,311,2074,check,3
473,4257,300,405.84,credit card,3
474,910,297,1071.73,debit card,1
475,2921,78,940.41,credit card,4
476,3743,102,1269.19,check,2
477,1023,53,640.64,credit card,1
478,4293,102,6473.4,debit card,4
479,1339,77,925.3,debit card,4
480,376,400,1178.32,credit card,5
481,3940,111,2551.8,pear pay,2
482,4123,141,1022.24,credit card,2
483,2954,245,2515.37,cash,5
484,2333,20,957.95,pear pay,3
485,4092,163,1613.85,credit card,3
486,3799,1,536.2,check,2
487,2427,25,2533.3,pear pay,1
488,1148,305,1036.07,credit card,4
489,2109,91,1013.65,credit card,1
490,3450,354,1073.35,pear pay,3
491,2124,5,1360.32,cash,3
492,792,142,2498.85,pear pay,6
493,751,250,6255.2,cash,4
494,3712,203,1276,credit card,1
495,1252,353,907.39,cash,1
496,4327,308,340.59,cash,1
497,3693,231,3821.73,credit card,1
498,4910,114,1593.25,pear pay,6
499,3254,328,1083.8,cash,1
500,1944,383,715.08,credit card,2
501,7,51,314.32,credit card,1
502,4632,376,722.8,credit card,1
503,1583,96,1337.42,check,3
504,2006,278,925.08,credit card,4
505,2155,329,1815.19,cash,2
506,2632,224,1181,credit card,4
507,617,224,1242.99,credit card,4
508,3276,289,505.8,credit card,1
509,4830,324,515.84,credit card,6
510,3043,369,964.81,credit card,1
511,1866,254,1069.74,check,1
512,3730,268,777.06,cash,1
513,3054,132,619.52,cash,1
514,3393,389,806.47,credit card,2
515,3226,24,1105.7,cash,3
516,3883,79,1183.14,credit card,1
517,655,199,641.41,cash,1
518,508,254,645.69,check,2
519,3406,377,1588.5,pear pay,4
520,4590,353,1641.54,credit card,6
521,3015,170,2363.94,cash,1
522,1544,202,1889.95,credit card,4
523,333,258,631.68,credit card,1
524,1324,62,1679,pear pay,3
525,1997,113,3546.18,credit card,2
526,2533,106,542.7,credit card,2
527,1875,351,695.04,pear pay,1
528,2318,260,2345.94,cash,6
529,3974,172,1623,credit card,2
530,530,382,863.6,credit card,2
531,100,56,2180.88,check,8
532,1869,231,681.3,cash,2
533,3423,273,1757.7,credit card,2
534,2211,386,827.82,cash,2
535,3852,55,3876.4,credit card,2
536,3566,399,955.59,credit card,4
537,950,365,1923.74,cash,1
538,4614,236,835.08,credit card,4
539,3006,320,1282.84,cash,3
540,3617,155,1024.32,cash,4
541,2769,198,2487.6,credit card,3
542,243,369,446.4,credit card,1
543,2421,396,706.15,credit card,3
544,947,362,1181,cash,1
545,1552,275,3028.34,cash,7
546,2250,199,868.49,cash,1
547,232,137,1612.48,cash,4
548,2433,254,2267.76,credit card,6
549,1670,32,2023.14,credit card,3
550,3059,321,3032.04,credit card,3
551,1467,258,1267.56,cash,1
552,691,224,1701.28,credit card,2
553,856,16,1219.24,credit card,2
554,1161,73,322.89,check,1
555,1873,119,2358.18,check,3
556,450,235,1275.75,debit card,1
557,1559,267,1044.36,credit card,2
558,1533,398,788.22,cash,1
559,1674,106,3034.6,check,3
560,1132,331,2000.95,cash,4
561,2895,94,1478.07,check,1
562,2799,232,1291.71,pear pay,6
563,424,317,1024.2,debit card,1
564,904,79,1523.9,cash,1
565,4720,358,690,credit card,6
566,4243,269,1589.9,cash,3
567,2592,190,559.29,credit card,3
568,2653,354,2584.71,check,6
569,4670,324,1910.34,credit card,5
570,4221,113,709.52,pear pay,1
571,4675,101,3683.24,check,1
572,133,117,493.44,credit card,1
573,1266,113,1238.64,credit card,4
574,4217,94,1107,cash,4
575,1532,273,1363.5,check,3
576,71,157,1143.73,credit card,3
577,1507,18,541.88,credit card,2
578,4054,396,1032.33,cash,1
579,3374,86,1582.14,credit card,2
580,1805,400,1290.64,cash,2
581,640,157,1226.65,debit card,2
582,863,213,1363.57,credit card,1
583,3621,233,709.04,credit card,1
584,3142,247,542.48,check,2
585,4695,392,1526.5,credit card,1
586,3720,396,360.76,check,1
587,1490,64,722.08,cash,1
588,4847,305,1610.95,check,2
589,262,248,1895.18,credit card,2
590,3050,103,2071.2,credit card,6
591,742,130,822.28,credit card,6
592,935,16,226.83,cash,1
593,3857,4,755.65,debit card,1
594,3831,95,3609.45,cash,1
595,1995,115,3750.37,credit card,3
596,4360,364,1469,credit card,1
597,1749,6,937.52,credit card,3
598,3769,151,1727.04,credit card,4
599,1514,242,1185.38,pear pay,1
600,2648,10,2946.24,credit card,2
601,3570,334,788.2,credit card,3
602,4799,195,1339.56,pear pay,1
603,3770,302,1180.9,cash,1
604,1831,274,844.09,cash,1
605,2168,130,679.7,credit card,2
606,4007,391,375.03,credit card,2
607,3056,312,2341.79,credit card,2
608,916,72,1378.86,pear pay,4
609,4666,257,1202.74,pear pay,1
610,3520,9,776.45,credit card,2
611,1678,49,6348.6,credit card,2
612,666,63,2689.1,check,3
613,4260,335,1452.4,cash,1
614,4126,106,1596.84,credit card,3
615,2513,167,1644.85,cash,2
616,3576,185,3177.35,cash,2
617,1237,72,788.2,credit card,4
618,3820,209,1178.8,cash,1
619,596,259,1074.88,credit card,3
620,1519,307,835.88,check,2
621,1772,65,1069.74,credit card,1
622,1554,52,1067.33,credit card,1
623,2923,367,1300.74,check,3
624,101,233,1547.91,credit card,1
625,991,322,1569.8,check,1
626,2919,69,1056.51,credit card,1
627,2225,129,558.52,credit card,6
628,2942,5,983.1,check,1
629,2356,24,1106.7,credit card,2
630,1048,29,1190.54,credit card,2
631,4107,77,1438.85,check,6
632,2286,371,3520.88,pear pay,4
633,3757,135,480.84,credit card,2
634,397,391,907.3,cash,1
635,2056,331,996.21,check,1
636,3629,382,293.1,check,1
637,4127,156,1482.57,credit card,2
638,1609,313,1796.76,check,3
639,4457,249,270.63,credit card,1
640,1444,156,847.98,credit card,2
641,986,214,884.17,cash,2
642,3709,12,4734.73,credit card,3
643,15,89,583.16,credit card,1
644,4517,127,2871.6,credit card,2
645,2340,86,3221.8,check,2
646,3046,110,510.63,check,2
647,2681,211,1543.36,credit card,1
648,2325,117,2633.6,credit card,8
649,1101,197,906.03,pear pay,3
650,3839,343,2343.06,credit card,4
651,2322,14,2516.22,credit card,3
652,864,233,1689.84,check,2
653,4831,379,1472.13,credit card,1
654,2765,314,1141.45,credit card,1
655,2782,44,471.36,pear pay,2
656,4557,358,1004.64,cash,4
657,780,265,1766.56,credit card,1
658,4861,7,1493.16,credit card,4
659,4017,267,1130.48,credit card,1
660,985,275,1295.04,credit card,1
661,2644,109,1265.4,credit card,3
662,1151,176,1733.52,credit card,1
663,3684,261,878.16,check,1
664,4186,20,690.18,credit card,1
665,495,115,1372.98,debit card,3
666,2013,125,2445.85,cash,2
667,345,384,1714.44,credit card,3
668,818,313,3147.9,check,3
669,279,35,1027.5,credit card,4
670,1108,122,1553.75,credit card,1
671,3080,399,2106,credit card,5
672,3990,125,831.25,cash,1
673,2259,271,4748.94,check,1
674,4294,304,2925,credit card,3
675,1728,251,975.42,credit card,3
676,1256,191,606.48,credit card,1
677,1819,82,1593.93,check,2
678,111,240,2098.74,credit card,1
679,2850,161,1328.16,check,1
680,2536,103,4763.85,cash,5
681,2660,288,813,debit card,2
682,1313,93,912.48,cash,2
683,3640,128,2037.48,pear pay,5
684,1958,220,706.93,credit card,1
685,2182,301,3461.36,cash,3
686,4320,148,678.1,credit card,3
687,492,77,423.35,check,1
688,781,295,1928.63,check,2
689,19,272,5308.44,cash,4
690,2381,359,2286.7,cash,6
691,3688,306,1293.75,credit card,6
692,884,305,1410.24,credit card,1
693,1551,107,3848.52,check,6
694,4481,249,612.78,cash,1
695,4768,61,2901.6,credit card,1
696,3881,71,2471.16,cash,4
697,1111,354,1265.81,check,1
698,521,185,782.82,check,1
699,4195,354,678.99,credit card,2
700,4797,324,1724.03,pear pay,6
701,3631,243,1945.58,credit card,1
702,2165,201,1410.12,cash,2
703,1214,188,2687.09,check,5
704,1623,391,2423.41,pear pay,1
705,161,317,2901.84,cash,4
706,754,242,3250.1,check,6
707,46,363,2257.56,pear pay,4
708,611,227,1598.38,pear pay,2
709,3005,321,1099.86,credit card,3
710,2018,346,930.36,pear pay,4
711,4472,55,736.47,cash,1
712,1197,286,1174.4,credit card,2
713,626,168,3187.53,check,1
714,1697,326,1609.27,pear pay,1
715,79,320,1620.64,debit card,2
716,915,382,1392.72,cash,1
717,4066,347,3282.1,credit card,3
718,171,163,1867.39,cash,5
719,933,121,1647.6,cash,3
720,4784,194,1760.22,credit card,2
721,4580,189,573.23,credit card,1
722,4647,234,660.52,credit card,1
723,4876,203,886.21,cash,1
724,4461,262,1197.98,check,1
725,968,354,2964.4,check,1
726,3009,328,444.33,check,3
727,2317,246,1416.3,check,3
728,3279,253,581.16,credit card,1
729,200,20,471.18,credit card,1
730,1528,128,2426.34,credit card,4
731,2549,346,1491.8,debit card,4
732,3596,126,5256.13,pear pay,2
733,3429,167,1265.94,check,3
734,1149,381,1391.76,credit card,1
735,1340,253,2209.2,credit card,4
736,1827,367,1000.6,check,2
737,1110,187,2313.74,pear pay,3
738,4646,256,2851.75,credit card,5
739,3604,334,2415.12,check,3
740,2236,292,1711.92,credit card,1
741,198,306,850.44,check,1
742,3824,383,707.7,credit card,2
743,1012,310,1358.42,credit card,2
744,3168,396,1389.96,credit card,1
745,3595,288,2087.73,credit card,2
746,3521,135,1076.48,credit card,1
747,1662,202,3845.64,credit card,1
748,873,92,482.24,check,4
749,1737,231,794.48,check,2
750,1716,357,2369.25,credit card,4
751,1489,270,382.05,credit card,1
752,1605,233,2601.61,check,4
753,2477,251,1516.65,cash,1
754,966,267,428.64,check,2
755,4409,246,698.34,cash,6
756,2028,288,2837,credit card,1
757,3699,212,4651.74,credit card,1
758,713,159,627.45,credit card,5
759,4642,27,325.23,check,2
760,4811,399,1651.1,check,2
761,1973,25,1374.96,credit card,3
762,928,82,1353.38,credit card,2
763,2838,40,1943.34,cash,2
764,668,74,2030.08,credit card,3
765,2810,93,1811.46,check,1
766,4758,258,1799.58,credit card,8
767,1057,207,1776.84,debit card,1
768,3861,27,2930.76,cash,1
769,3947,320,1203.6,check,2
770,3886,288,397.84,cash,1
771,1109,24,1287.04,credit card,2
772,659,389,2432.65,pear pay,2
773,1598,112,923.16,check,2
774,1487,200,2184.63,pear pay,6
775,897,30,2717.82,check,4
776,834,124,2622.24,pear pay,4
777,3500,110,2021.88,credit card,1
778,4519,26,2974.77,credit card,4
779,4533,5,2044.24,check,2
780,2298,200,804.36,credit card,4
781,4881,241,700.6,cash,4
782,1690,331,1741.08,cash,3
783,686,65,1335.1,pear pay,3
784,1754,69,1649.83,pear pay,5
785,2321,118,703.68,cash,4
786,3625,312,4807.74,credit card,4
787,1277,306,478.31,credit card,1
788,844,131,2867.41,cash,1
789,4586,171,867.85,credit card,4
790,2717,38,1770.67,check,5
791,939,251,1852.62,credit card,1
792,2432,270,5476.38,cash,1
793,2237,189,1727.6,pear pay,2
794,4473,212,2386.56,credit card,2
795,1960,386,1076.3,check,1
796,548,346,3244.78,check,1
797,2299,158,1749.44,check,2
798,2811,5,4298.64,cash,1
799,635,75,3437,credit card,4
800,3574,26,327.09,cash,1
801,4317,252,813.28,check,1
802,2955,201,2021.88,cash,5
803,2914,234,1395.24,credit card,1
804,4760,359,358.56,cash,1
805,1898,390,858.15,check,2
806,4278,203,4208.26,credit card,3
807,4176,371,3352.96,cash,3
808,1705,100,3621.54,credit card,3
809,2554,311,4728.49,check,4
810,3888,121,1192.8,check,2
811,4048,204,2613.13,cash,4
812,3915,266,343.68,credit card,1
813,4110,196,2713.14,credit card,6
814,4149,336,1037.88,pear pay,2
815,70,381,1396.07,credit card,2
816,1122,12,1747.2,credit card,4
817,2815,5,1036.77,cash,2
818,1260,226,1898.4,credit card,2
819,2471,109,2825.1,cash,4
820,3715,115,1993.09,credit card,1
821,497,183,2767.52,pear pay,5
822,409,305,616.8,check,2
823,1438,381,681.92,cash,4
824,561,144,926,debit card,3
825,2453,349,535.16,check,2
826,2892,273,762.05,cash,1
827,3057,337,1159.32,credit card,1
